"member","debate_name","debate_link"
"Ahearn, Garret","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Blaney, Niall","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Buttimer, Jerry","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Byrne, Malcolm","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Byrne, Maria","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Carrigy, Micheál","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Casey, Pat","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Cassells, Shane","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Conway, Martin","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Crowe, Ollie","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Cummins, John","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Currie, Emer","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Daly, Paul","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Davitt, Aidan","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Dolan, Aisling","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Gallagher, Robbie","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Garvey, Róisín","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Kyne, Seán","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Lombard, Tim","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Martin, Vincent P","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"McGahon, John","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"O'Loughlin, Fiona","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"O'Reilly, Pauline","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Sherlock, Marie","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Ward, Barry","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Black, Frances","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Boylan, Lynn","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Gavan, Paul","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Keogan, Sharon","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Ó Donnghaile, Niall","Health (Amendment) (No. 2) Act 2021: Motion","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/1/"
"Ahearn, Garret","Registration of Wills Bill 2021: Second Stage","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/2/"
"Blaney, Niall","Registration of Wills Bill 2021: Second Stage","https://www.oireachtas.ie/en/debates/vote/seanad/26/2021-10-06/2/"
